게임,문제,정답,제보자
꽁꽁,2007년 상반기에 새로 발행 될 10000원권?,세종대왕,
꽁꽁,2008년 세계올림픽 개최지는 OO 이다,중국,
꽁꽁,2008년 올림픽대회를 개최하는 나라는 OO이다.,중국,
꽁꽁,2010 벤쿠버 동계올림픽 피겨스케이팅 여자싱글 금메달리스트는?(3글자),김연아,
꽁꽁,2025 KBO 리그 (프로야구)의 우승팀은 LG 트윈스입니다. 그렇다면 올해 시즌의 MVP 선수의 이름은?,김현수,
꽁꽁,"2025년 10월, 손흥민이 소속된 축구 클럽은?",LAFC,
꽁꽁,2025년 6월 20일 공개된 넷플릭스 오리지널 미국 애니메이션 영화. K-pop 아이돌을 소재로 하는 최초의 해외 제작 애니메이션은?,케이팝데몬헌터스,
꽁꽁,2025년 완공예정인 영종도 복합도시의 중추적인 핵심 기능은?,공항,
꽁꽁,20세? 弱冠,약관,
꽁꽁,"20세기 초 미국 남부 뉴 올리언즈의 흑인들 사이에서 생긴 음악이다. [문제] 오늘날의 유행가나 동북음악에 영향을 주었으며 음악가로는 클리포드 브라운, 루이 암스트롱이 있는 이 음악은 OO이다.",재즈,
꽁꽁,20세기 초 스위스에서 차라 등을 중심으로 일어난 기성의 가치체계를 부정하는 예술운동은 OO이즘이다.,다다,
꽁꽁,20세기 초에 프랑스 문학계에서 일어난 운동으로 기성도덕이나 권위에 반항하는 문예상의 신사조는 OOOO이다.,모더니즘,
꽁꽁,"20세기 초의 급진적인 예술운동으로 이탈리아의 미래파, 러시아의 구성주의, 다다이즘과 초현실주의 등을 지칭하는 것은?",아방가르드,
꽁꽁,"20세기 프랑스 회화의 한 경향으로, 오르페우스에서 연유한 명칭은?",오르피즘,
꽁꽁,"20세기는 이 질병의 지대라고도 하는데, 1차 세계대전 직후 1년만에 2천만명의 희생자를 냈던 병은?",감기,
꽁꽁,"20C 입체파 작가, 형태를 분해하여 재구성하였으며 `꿈`. `아비뇽의 여인들` 등의 대표작을 그린 작가는?",피카소,
꽁꽁,"21세기의 신에너지 자원으로 주목하고 있는 물질이며, 이 에너지는 독도 주변 해양에 많이 분포 한다고 알려져있다. 이 에너지는 무엇인가?",하이드레이트,
꽁꽁,21시부터 23시까지를 OO(亥時)라고 한다.,해시,
꽁꽁,21장으로 이루어져 있는 타로카드를 OOO이라 한다.,메이저 혹은 메이져,
꽁꽁,21장의 타로카드를 OOO카드라 한다.,메이저 혹은 메이져,
꽁꽁,23시부터 1시까지를 00(子時)라고한다.,자시,
꽁꽁,23쌍의 염색체에 숨겨진 인간의 비밀을 밝혀내는 것을 OO 프로젝트라 한다.,게놈,
꽁꽁,24시간 동안 쉬지않고 계속 돌아가는 것은?,시계,
꽁꽁,24절기 중 지구의 공전속도가 가장 빠른 절기는 언제인가?,동지,
꽁꽁,"24절기 중 하나로 그네뛰기, 씨름, 활쏘기 등의 놀이를 즐기며, 수릿날. 천중절도로도 불리는 명절은?",단오,
꽁꽁,24절기 중에서 개구리가 겨울잠을 마치고 깨어난다는 시기는 ○○이다.,경칩,
꽁꽁,24절기의 하나이다 양력 2월 4일 경에 해당하며 24절기 가운데 첫번째 절기로 봄이 시작되는 때는?,입춘,
꽁꽁,"2개국 이상이 조약을 체결, 관세영역을 형성하는 것을 관세 ○○(이)라 한다.",동맹,
꽁꽁,2개의 네트워크를 서로 통신할 수 있도록 도와주는 하드웨어나 소프트웨어를 OOO(이)라 한다.,라우터,
꽁꽁,2개의 리드를 입에 물고 숨으로 리드를 떨게 하여 소리를 낸다. 음에 높이를 맞추어 연주하는 관악기는 OOO이다.,오보에,
꽁꽁,2개의 음높이의 거리를 OO이라고 한다.,음정,
꽁꽁,2년마다 광주광역시에서 열리는 국제미술전람회의 명칭은 OOOOOO이다.,광주비엔날레,
꽁꽁,2년마다 열리는 국제미술전람회를 무엇이라고 하는가?,비엔날레,
꽁꽁,2명의 선수가 온몸을 사용하여 상대를 공격하거나 공격해오는 상대의 허점을 찔러 승패를 겨루는 격투경기는 OO이다.,유도,
꽁꽁,2박자나 4박자로 작곡되었는데 예전에는 의식용으로 3박자로도 있던 음악이다. 예문) 웨딩 OO.,마치,
꽁꽁,2월 29일은 몇 년마다 한번씩 돌아오는가?,사년,
꽁꽁,2인 이상에 의한 가창이나 연주 혹은 연주나 연극 따위의 조화 등을 나타내는 프랑스어?,앙상블,
꽁꽁,"2중주는 듀엣, 3중주는 트리오 그러면 4중주는 무엇이라고 할까?",쿼텟 혹은 퀄텟,
꽁꽁,"2중주는 듀엣, 3중주는 트리오, 그렇다면 4중주는 무엇이라고 할까?",쿼텟 혹은 퀄텟,
꽁꽁,2차 대전 이후 국토가 분단된 나라가 아닌 곳은?,이라크,
꽁꽁,2차 포에니 전쟁을 지휘했던 카르타고 장군 이름은?,한니발바르카,
꽁꽁,2차대전 직후 유럽의 경제부흥을 위해 마샬 플랜을 발표한 미국 대통령은?,트루먼,
꽁꽁,2차원은 0으로 나타낸 다고 한다,면,
꽁꽁,2차원적인 평면의 공간에서 3차원공간을 경험할 수 있게 만들어놓은 상황을 ○○현실이라 한다.,가상,
꽁꽁,2회이상 나누어서 상환하는 경우 이자율이 연간요율과 같은 이자 계산방법은?,단리법,
꽁꽁,2OOO-2001시즌 미국 프로농구(NBA)에서 신인왕에 뽑힌 선수는?,마이크 밀러,
꽁꽁,2OOO년 12월 8일 일본 도쿄에서 열린 여성 국제 전범법정에서 전범이라는 유죄 판결을 받은 이 사람은 OOOO이다.,히로히토,
꽁꽁,2OOO년 6월 13일 남북한 정상이 처음으로 만난 북한의 국제공항 이름은 무엇인가?,순안 공항,
꽁꽁,2OOO년 6월 13일부터 15일까지 2박 3일동안에 이루어진 남북정상회담에 대한 설명으로 잘못된 것은?,김대중 대통령 취임 후 최초로 남북정상의 구상이,
꽁꽁,2OOO년 국내 프로야구에 진출한 에스케이 와이번스의 감독은 누구인가?,강병철,
꽁꽁,2OOO년 국내 프로야구에 진출한 SK 와이번스의 감독은 누구인가?,강병철,
꽁꽁,2OOO년 뉴욕에서의 서브웨이 시리즈는 뉴욕 메츠와 뉴욕 OOO와의 월드시리즈를 말한다.,양키스,
꽁꽁,2OOO년 뉴욕에서의 서브웨이 시리즈는 뉴욕 메츠와 뉴욕 OOO와의 월드시리즈를 말한다. (양키스) 혹은,양키즈,
꽁꽁,"2OOO년 대니얼 맥패든, 제임스 해크먼이 공동수상한 것은 '노벨OOO상'이다.",경제학,
꽁꽁,2OOO년 동안 나라없이 유랑생활을 하였으며 2차대전시 나치에 의해 많은 희생을 당한 나라는 OOOO이다.,이스라엘,
꽁꽁,2OOO년 미국 대통령 선거에서 재검표와 법정 공방을 벌인 지역은 OOOO이다.,플로리다,
꽁꽁,2OOO년 서울시의 시장은 OO이다,고건,
꽁꽁,2OOO년 시드니 올림픽 때부터 프로선수들의 출전을 허용한 종목은?,야구,
꽁꽁,2OOO년 시드니 올림픽 성화를 점화한 최종주자는?,캐시 프리먼,
꽁꽁,2OOO년 시드니 올림픽 정식종목으로 채택된 우리나라의 국기(國技)는?,태권도,
꽁꽁,2OOO년 시드니 올림픽 종합2위를 차지한 나라는?,러시아,
꽁꽁,2OOO년 시드니 올림픽 주최국 호주는 몇위를 차지했을까?,4위,
꽁꽁,2OOO년 시드니 올림픽에서 한국은 몇 위를 차지했을까?,12위,
꽁꽁,"2OOO년 시드니 올림픽의 마스코트로는 시드,올리 그리고 00이다.",밀리,
꽁꽁,"2OOO년 안방극장의 비디오 대여순위 1위의 영화이다. [문제] 유지태, 이성재, 정준, 박영규등이 열연한 이 영화는 'OOO 습격사건'이다.",주유소,
꽁꽁,2OOO년 우리나라 사람으로서는 최초로 노벨 평화상을 수상하게 된 사람은 'OOO 대통령' 이다.,김대중,
꽁꽁,2OOO년 일요일 일요일 밤에의 게릴라 콘서트를 통하여 스타덤에 오른 가수는 OOO 이다,강현수,
꽁꽁,2OOO년 청룡 영화제에서 남우 조연상을 받은 연기자는 OOO이다.,신하균,
꽁꽁,2OOO년 청룡 영화제에서 물고기 자리로 여우 주연상을 받았으며 김승우와 결혼한 바 있는 영화배우는 OOO이다.,이미연,
꽁꽁,2OOO년 청룡 영화제에서 박하사탕으로 남우 주연상을 받은 이 영화배우는 OOO이다.,설경구,
꽁꽁,2OOO년 한국 국가대표팀의 감독을 맡게 되는 네덜란드의 감독은 OOO이다,히딩크,
꽁꽁,2OOO년과 2004년에 미국 대통령으로 당선이 된 조지 W 부시 대통령의 어머니이기도한 사람은 `OOO 여사`이다.,바바라,
꽁꽁,2OOO년도 노벨상 수상자 가운데 아시아인은 몇명인가?,2명,
꽁꽁,"3 1운동 이후 만주 지방 무장 독립군의 봉오동 전투, 청산리 대첩의 전과로 인하여 유발된 사건은?",간도 참변,
꽁꽁,3.1 운동 때 유관순이 만세운동을 벌인 곳은 어디인가?,아우내장터,
꽁꽁,3.1운동 이후 천도교를 배경으로 발행된 월간 종합지는 OO이다.,개벽,
꽁꽁,3.1운동 이후 천도교를 배경으로 발행된 월간 종합지는?,개벽,
꽁꽁,3~10인승 고무 보트로 강의 급류를 타는 레저 스포츠를 무엇이라고 하는가?,래프팅,
꽁꽁,300만년전에 출현한 최초의 인류는 OOOOOOOOO이다.,오스트랄로피테쿠스,
꽁꽁,300인의 귀족으로 구성된 고대 로마의 입법 및 자문 기구로 국정운영의 실질적인 중심기관이였던 곳은?,원로원,
꽁꽁,30대 남자와 초능력을 가진 10대 소녀의 신비스러운 만남을 그린 박기형 감독의 영화는?,비밀,
꽁꽁,335년 디노스트라투스,이차곡선,
꽁꽁,"33종의 원소를 발견했으며, 물은 원소가 아니라 수소와 산소의 화합물임을 밝혀낸 과학자는?",라부아지에 혹은 라부아지애,
꽁꽁,36년동안 우리나라를 지배하다가 1945년 8월 15일 퇴각한 나라는 OO이다,일본,
꽁꽁,371년 고구려의 평양성까지 진격해온 백제 근초고왕과 싸우다가 전사한 고구려 왕은?,고국원왕,
꽁꽁,38도선과 소련 참전이 결정된 것은 'OO 회담'에서 이다,얄타,
꽁꽁,3각뿔의 면은 O개 이다. 빈 칸에 들어갈 숫자는?,숫자: 4,
꽁꽁,3강 =군위신강 부위자강 부위부강 5륜= 부자유친 부부유별 장유유서 군신유의,붕우유신,
꽁꽁,"3강 5륜에 관한 문제이다 3강5륜에서 5륜은 OOOO, 부자유친, 부부유별, 장유유서, 붕우유신을 말한다",군신유의,
꽁꽁,"3강5륜에 관한 문제이다. 3강5륜에서 3강은 부위부강, 부위자강, OOOO을 말한다.?",군위신강,
꽁꽁,3대 성악곡에 들지 않는 것은?,시나위,
꽁꽁,3대 업무 중 예금업무에 속하지 않는 것은?,어음할인,
꽁꽁,"3대 영양소는 탄수화물, 단백질 그리고 OO이다",지방,
꽁꽁,"3대영화제는 베니스,칸 OOO영화제 이다.",베를린,
꽁꽁,3류들의 인생이야기를 다룬 영화 <넘버3>에서 배우 최민식의 극중 이름은?,마동팔,
꽁꽁,3세기에 한강유역을 점령한 백제의 왕은 00왕이다,고이,
꽁꽁,3시부터 5시까지를 OO(寅時)라고 한다.,인시,
꽁꽁,3월 10일에 닭의 종란을 부화기에 넣었다. 부화 예정일은 언제인가?,3월 31일,
꽁꽁,3월중 나타나는 꽃샘 추위는 무엇때문인가?,시베리아기단,
꽁꽁,"3일, 5일, 7일 간격이 대부분이며 시골에서는 아직까지도 열리는 이것은 O이다.",장,
꽁꽁,"3종 법정 전염병으로 기침, 각혈, 호흡 곤란 등의 증상을 보이며, BCG접종을 통해 예방하는 전염병은?",결핵,
꽁꽁,3집에 수록된 노래로 우리나라의 교육체제를 비판하는 노래는 '교실 OOO'이다.,이데아,
꽁꽁,3차원 공간이나 웹상에서 자신을 나타내는 그래픽 아이콘을 가리키는 말은 무엇인가?,아바타,
꽁꽁,3차원은 00으로 되어 있다,입체,
꽁꽁,"3천년의 역사를 가졌으며, 한국영화 OO반점으로 우리에게 친숙한 이곳의 명칭은 OO이다.",북경,
꽁꽁,3c 한강유역을 차지한 왕의 이름은 00 왕이다 .,고이,
꽁꽁,4-2는? (숫자1자리),2,
꽁꽁,4~5세에 나타나기 쉬운 식습관으로 어떤 특정한 음식만을 가려 먹는 것을 무엇이라 하는가?,편식,
꽁꽁,40대 가정주부의 심리상태이다 주부가 자신의 정체성에 회의를 느끼는 정신적 위기현상을 00증후군이라 한다,공소,
꽁꽁,40세? 不惑,불혹,
꽁꽁,40세의 나이를 가리키는 말이다 세상일에 정신을 빼앗겨 갈팡질팡하거나 판단을 흐리는 일이 없게 되었음을 뜻하는 말은 00이다.?,불혹,
꽁꽁,458년 신라인으로 방아타령을 지은 사람은 OO선생이다.,백결,
꽁꽁,4계절중 마지막 계절로 추운것이 특징이며 한해를 마감하는 철은 OO이다.,겨울,
꽁꽁,"4단 7정론이란 퇴계 이황이 주장한 인생관의 논리적 학설이다 4단7정에서 `7정`이란 희(喜), 노(怒), 애(哀), 0(瞿), 애(愛), 오(惡), 욕(慾)을 말한다.",구,
꽁꽁,4분의 1을 뜻하는 영어 쿼터(Quarter)에서 나온 말이다 인내심을 잃어버린 청소년의 사고 행동양식을 일컫는 말은 OOOO이다.,쿼터리즘,
꽁꽁,4색의 차량신호등 중 횡으로 가장 좌측에 있는 것은?,빨간색,
꽁꽁,"4성제도 또는 4계급 제도로 브라만, 크샤트리아, 바이샤, 수드라 4계급인 인도의 신분제는 'OOO 제도'이다.",카스트,
꽁꽁,4세기 백제의 전성기 왕은?,근초고왕,
꽁꽁,4세기 백제의 진출 지역이 아닌 곳은?,요동,
꽁꽁,4세기 전성기 백제의 왕은?,근초고왕,
꽁꽁,"4세기에 마립간으로 칭호를 바꾸고 김씨 왕위 세습, 왜구 격퇴 등을 한 왕은 OOO 이다.?",내물왕,
꽁꽁,"4세기에 마한 전역의 정복, 고대 해상 무역권의 형성 등을 행한 왕은 OOOO이다",근초고왕,
꽁꽁,4인조 인기 혼성그룹 샾의 4집앨범 타이틀 곡은?,스위티,
꽁꽁,4차원은 OOO으로 되어있다.,시공간,
꽁꽁,5.545를반올림하여 소수 둘째자리까지 구하면 어떤값이 되는가? 5.55,장폴고띠에,
꽁꽁,50개의 별이 50개의 주를 상징하는 미국의 국기는 OOO이다.,성조기,
꽁꽁,"50년대에서 60년대, 공산주의는 적이다 라는 반공 극우사상 모든것이 억압적?",메카시즘,
꽁꽁,50세? 知命(지명) 命年,명년,
꽁꽁,"50원 10개, 100원 2개, 10원 1개, 500원 2개면 모두 얼마인가? (숫자만 4글자 입력)",1710,
꽁꽁,58년 월드컵에서 17살 짜리가 골을 넣어 팀을 우승으로 이끈 축구 천재는?,펠레 혹은 팰래,
꽁꽁,"5가지 과일로 달이는 한국 전통차로, 호두 은행 대추 밤 생강이 들어가며 기침날 때 마시면 좋다는 음식은?",오과차,
꽁꽁,"5대 사회악은 궁핍, 질병, 00, 불결, 태만이다.",무지,
꽁꽁,"5대 사회악은 OO, 질병, 무지, 불결, 태만이다.",궁핍,
꽁꽁,"5대호 중에 하나인 미시간 호의 남쪽에 있는 도시로 철도, 항공로의 대부분이 이 도시를 출발점으로 하고 있다. 미국의 이 도시는 OOO이다.",시카고,
꽁꽁,5분을 초로 계산하면 몇 초인가?,300초,
꽁꽁,5세기 고구려 전성기때 왕은 누구인가?,광개토대왕,
꽁꽁,5세기 후기 신라가 중국진출을 포기한 정세는 OOO 안정기 이후 때부터이다.,남북조,
꽁꽁,5세기때 가장 번성했고 광개토대왕과 장수왕으로 유명한 삼국시대의 나라는?,고구려,
꽁꽁,5시부터 7시까지를 OO(卯時)라고 한다.,묘시,
꽁꽁,5월 15일은 스승의 날이다. 선생님을 우리 고유말로 하면?,훈장,
꽁꽁,5월 1일을 어린이 날로 지정한 방정환 선생의 호는 OO이다.,소파,
꽁꽁,"5월8일 어머니, 아버지를 위한 날은?",어버이날,
꽁꽁,5월8일은 무슨날일까요?,어버이날,
꽁꽁,"5음계는 궁(도), 상(레), 각(미), 치(솔) 그리고 O(라) 이다",우,
꽁꽁,5C 요동 지역을 확보한 왕은 OOO왕이다.,광개토,
꽁꽁,5C 요동지역을 차지한 OOO왕이다.,광개토,
꽁꽁,6.25 전쟁 때 참전한 오스트레일리아의 제트 전투기를 OOO 이라고 한다.,호주기,
꽁꽁,6.25 전쟁때 참전한 나라이며 맨발의 마라토너인 아베베 선수를 배출한 아프리카의 나라는 ○○○○○이다.,에티오피아,
꽁꽁,6.25 전쟁은 어떤 요일에 일어났는가?,일요일,
꽁꽁,"6.25당시 13만 2천명을 수용한 국제연합군측 최대 규모의 포로 수용소가 있던 장소로, 1952년 5월 9일~6월 10일 이곳에 수용되어 있던 공산포로들이 일련의 소요?",거제도,
꽁꽁,6.25전쟁 발발직후 미군에 의한 양민학살 사건이 일어난곳은 OOO 이다.,노근리,
꽁꽁,6.25전쟁 중의 1.4후퇴 때 국민방위군의 일부 고급장교 사이에 일어난 부정사건인 <국민방위군 사건>에 관한 설명으로 잘못된 것은?,전쟁에서 회의를 품은 국민방위군들이 탈영을 시도했던,
꽁꽁,"6.25전쟁도 이 요일에 일어났는데, 이 요일은?",일요일,
꽁꽁,6.25전쟁이 일어난 요일은 언제인가?,일요일,
꽁꽁,600년에 태학박사 이문진을 시켜 <신집 5권>이라는 역사서를 낸 고구려의 왕은?,영양왕,
꽁꽁,"600여곡이나 되는 가곡과 기악곡을 작곡하였고 대표작으로는 '송어', '겨울 나그네'등이 있는 작곡가는 OOOO이다.",슈베르트,
꽁꽁,60세? 耳順,이순,
꽁꽁,"610년에 일본과의 교류를 위해 담징, 법정 등을 파견해 일본 문화에 많은 영향을 준 고구려의 왕은?",영양왕,
꽁꽁,"61세? 還甲(환갑) 回甲(회갑), 華甲",화갑,
꽁꽁,62세? 進甲,진갑,
꽁꽁,642년 천리장성을 수축하고 있던 연개소문에게 제거당한 고구려의 왕은?,영류왕,
꽁꽁,660년 나당연합군에 맞서 결사대 5천을 이끌고 황산벌에 나가 용감히 싸운 백제의 장군은?,계백,
꽁꽁,698년 고구려유장 대조영이 건국한 나라는 OO이다.,발해,
꽁꽁,698년 고구려의 유민이던 대조영이 건국한 나라는 무엇인가?,발해,
꽁꽁,6개의 줄이 있으며 손가락으로 퉁겨 연주하고 스페인의 민속악기로 반주와 노래를 함께 할수 있는 현악기는 OO이다.,기타,
꽁꽁,6년생 암양의 체세포를 이용해 유전자 조작기술에 의해 태어난 복제양의 이름은 OO이다.,돌리,
꽁꽁,6마리 말의 눈을 꼬챙이로 찌른 소년의 범죄실화를 소재로 한 세퍼의 희곡 <에쿠우스>에서 에쿠우스의 의미는?,말,
꽁꽁,"6만명의 육군 병력을 끌고 침략한 당 태종이 점령한 고구려의 산성은 00, 개모성, 백암성, 요동성이다.",신성,
꽁꽁,"6만명의 육군 병력을 끌고 침략한 당 태종이 점령한 고구려의 산성은 신성, 개모성, OOO, 요동성이다.",백암성,
꽁꽁,"6만명의 육군 병력을 끌고 침략한 당 태종이 점령한 고구려의 산성은 신성, OOO, 백암성, 요동성이다.",개모성,
꽁꽁,"6만명의 육군 병력을 끌고 침략한 당 태종이 점령한 고구려의 산성은 OO, 개모성, 백암성, OOO이다.",요동성,
꽁꽁,6명으로 이루어진 가수 신화의 데뷔곡은 OOO이다.,해결사,
꽁꽁,70년대초 유행했던 부리가 넓은 여성용 바지로 원래는 남자의 긴바지를 뜻한다고 한다. 이 바지의 명칭은?,판타롱,
꽁꽁,70세? 古稀,고희,
꽁꽁,75의 미네랄과 25의 가스로 만들수 있는 유닛으로 부르드 워에서는 럴커로 변태할 수 있는 이 유닛의 이름은 OOO이다.,히드라,
꽁꽁,77년 이란과 수도이름을 교환하여 지어진 거리로 벤처기업이 많이 몰려있는 이곳은 'OOO 로'이다.,테헤란,
꽁꽁,77세? 喜壽(희수) 草書,초서,
꽁꽁,7세기경 마호메트가 창시한 정교 일치의 일신교인 이슬람교의 경전은 OO이다.,코란,
꽁꽁,7시부터 9시까지를 00(辰時)라고 한다.,진시,
꽁꽁,7월의 탄생석으로 붉은색을 띠어 홍옥이라고도 하는 보석은 무엇인가?,루비,
꽁꽁,7인이상의 발기인에 의해 설립되며 유한책임의 주주로 구성되는 물적회사는?,주식회사,
꽁꽁,"7정이란 희(喜), O(怒), 애(哀), 구(懼), 애(愛), 오(惡), 욕(慾)이다.",노,
꽁꽁,7OOO개의 섬으로 구성되어 있으며 마닐라를 수도로 두고 있는 이 나라 OOO이다.,필리핀,
꽁꽁,8.15 광복 직 후 우리나라를 신탁통치하기로 결의가 이루어진 회담은 OOOO 3상 회담이다,모스크바,
꽁꽁,8.15 해방 후 만들어진 정치 단체이다. [문제] 여운형이 중심이 되어 민생치안과 정부수립을 대비하기 위해 만든 정치단체는 'OO준비위원회'이다.,건국,
꽁꽁,8.15광복 직후 우리나라를 신탁통치하기로 결의가 이루어진 회담은 ○○○○ 3상 회담이다.,모스크바,
꽁꽁,8.15민족축전에서 남북 언어학자들은 언어를 통일하여 이질성을 극복하기 위해이사전편찬을 약속했다.이사전은 무엇일까요?,겨레말큰사전,
꽁꽁,"80년대 미국을 능가할거라던 일본 경제, 즉 거품경제 때문에 침체되서 지금도 장기불황을 OOOO라고 한다.",버블경제,
꽁꽁,80년대말 선풍적인 인기를 끌었던 동명의 일본만화를 영화화한 작품으로 크리스토퍼 갠즈 감독의 영화는?,크라잉 프리맨,
꽁꽁,81세? 望九,망구,
꽁꽁,88세? 米壽,미수,
꽁꽁,8개의 비트로 구성되며 하나의 문자나 숫자를 표현하는데 사용하는 단위는 OOO이다.,바이트,
꽁꽁,8구체 향가 처용가의 주제의식을 담고 있는 말로 사악함을 물리치고 좋은 일로 나아감을 뜻하는 한자성어는?,벽사진경,
꽁꽁,8구체향이 처용가의 주제의식을 담고 있는 말로 사악함을 물리치고 좋은 일로 나아감을 뜻하는 한자성어는? (벽사진경,壁邪進慶,
꽁꽁,8을 반으로 나누면 무엇이 될까?,3,
꽁꽁,90세? 卒壽,졸수,
꽁꽁,927년 포석정에서 연회를 하던 신라의 경애왕은 누구의 습격을 받고 자살하였는가?,견훤,
꽁꽁,927년 후백제의 견훤이 신라의 경애왕을 죽인 다음 새로운 왕으로 내세운 사람은?,경순왕,
꽁꽁,"96년 베니스 영화제 최연소 여우주연상 수상작으로, 교통사고로 엄마를 잃은 소녀의 이야기를 그린 영화는?",뽀네뜨,
꽁꽁,96년 애틀란타 올림픽 여자 유도 48kg급에서 금메달을 목에 건 북한의 유도 선수는?,계순희,
꽁꽁,993년 거란이 침입했을 때 강동 6주를 획득하는 데 공을 세운 사람은?,서희,
꽁꽁,99세? 白壽,백수,
꽁꽁,9개의 품사 중에서 자립성은 없지만 단어로 인정하는 것은?,조사,
꽁꽁,9박 계통의 장단을 ○○○ 장단이라고 한다.,세마치,
꽁꽁,9시부터 11시까지를 OO(巳時)라고 한다.,사시,
꽁꽁,가 절감을 목표로 기구를 축소 또는 감원하는 것을 OOOOO이라 한다.,다운사이징,
꽁꽁,"가게 되었는데, 이 역사적 사건은 무엇일까요?",병인양요,
꽁꽁,가게를 북한말로 하면?,가가,
꽁꽁,가게를 북한에서는 무엇이라 부를까요?,가가,
꽁꽁,價格을(를) 읽으면 ○○이다? (가격),가격,
꽁꽁,가격이 상승하면 오히려 수요가 증가하는 현상은 OOO현상이라한다.,베블렌,
꽁꽁,"가곡 '오! 스잔나', '스와니강', `시골경마'등을 작곡한 미국의 작곡가는 OOO이다.",포스터,
꽁꽁,가곡의 왕 슈베르트가 18세가 되던 어느날 집에서 괴테의 시를 읽고 바로 작곡한 작품은 OO이다.,마왕,
꽁꽁,가곡의 왕'이라 불리우는 사람은?,슈베르트,
꽁꽁,"가곡의 왕으로 불리는 작곡가이다. 가곡집 <아름다운 물방앗간의 처녀> <겨울나그네>, 교향곡으로는 <미완성교향곡> 등을 남긴 작곡가는 OOOO 이다.",슈베르트,
꽁꽁,가극 '아이다'는 수에즈 운하 개통 기념으로 만든 가극이다. [문제] 합창곡이며 가극 아이다중에서 개선 행진곡을 작곡한 사람으로 대표작은 '라 트라비아타' 등이 있는 사람은 OOO이다.,베르디,
꽁꽁,가극 나비부인 중에서 어떤 갠날을 작곡한 푸치니의 국적은 OOOO이다.,이탈리아,
꽁꽁,가극이나 음악극의 막간에 연주되는 음악 또는 악장과 악장 사이에 연주되는 음악은 'OOO'이다.,간주곡,
꽁꽁,가까운 상태를 일컫는 말또는 물체가 가까운 상태의 말은?,바투,
꽁꽁,가까운 혈족이나 동족 사이에 일어나는 싸움을 의미하는 사자성어는 OOOO(骨肉相爭)이다.,골육상쟁,
꽁꽁,가까이 있는 것을 짙게 멀리 있는것을 옅게 그리는 방법으로 동서양에서 사용된 기법을 OOOOO이라고 한다.,색채원근법,
꽁꽁,가끔씩 사람들은 옛 일을 생각하는데 이 생각을 OO 이라고 한다.,회상,
꽁꽁,가나안 사람들이 땅을 비옥하게 만들어 준 신으로 생각하는 신은 OO이다.,바알,
꽁꽁,가난하면서도 남을 원망하지 않는다는 뜻의 한자성어는 OOOO(貧而無怨)이다.,빈이무원,
꽁꽁,가난할 때 사귄 잊지 못할 벗을 뜻하는 성어는?,빈천지교 - 貧賤之交,
꽁꽁,가난할 때에 어려움을 같이 한 아내는?,조강지처 - 糟糠之妻,
꽁꽁,가냘프고 고운 여자의 손.미인의 손을 일컫는 말은?,섬섬옥수 - 纖纖玉手,
꽁꽁,가냘프고 고운 여자의 손이라는 뜻으로 纖纖玉手라고 쓰는 이 사자성어는 OOOO이다.,섬섬옥수,
꽁꽁,가늘고 긴 관이 둘둘 말려있는 특이한 모양의 관악기 OO이다.,호른,
꽁꽁,가늘고 날카로운 표현을 할 수 있는 소묘 재료는?,펜,
꽁꽁,가늘고 부드러운 곡선 등 섬세한 선의 효과를 얻기 위해 부식액을 이용하는 판화는?,에칭,
꽁꽁,家宅 을 (를) 읽으면 OO이다.,가택,
꽁꽁,가도가도 끝이 없는 것은?,그림자,
꽁꽁,가라데는 우리나라의 이웃 섬나라인 OO의 전통 무예이다.,일본,
꽁꽁,"가락국 건국 신화에 관한 <구지가> 의 한 대목이다 `00아, 00아, 머리를 내어라, 아니 내면은 구워서 먹으리.` 의 00에 알맞은 말은?",거북,
꽁꽁,가락국 또는 금관가야의 시조는?,수로왕,
꽁꽁,가락국의 시조로서 전설에 의하면 하늘에서떨어진 6개의황금알 중 가장 먼저 사람으로 변했다고 한다.이왕은무슨왕인가?,김수로왕,
꽁꽁,가로로 넓적한 마름모꼴 형태이며 꼬리가 길다 . 꼬리끝에는 독이 있는 경우도 있고 우리나라 전통연의 이름과도 같은 이 물고기는 OOO이다.,가오리,
꽁꽁,가로로 쌓을수 있으나 세로로는 쌓지 못하는 것은?,동전,
꽁꽁,가르마와 가르마 둘 중에 표준어는 무엇일까?,가르마,
꽁꽁,가리마와 가르마 둘 중에 표준어는 무엇일까?,가르마,
꽁꽁,가마우지를 일본어로 부르는 말은?(1글자),우,
꽁꽁,가만히 있어도 뺨 맞는 것은?,성냥,
꽁꽁,가면 갈수록 올라가는(비싸지는) 것은?,택시요금,
꽁꽁,"가사 작품 <규원가>의 저자이자, 허균의 누이는 OOOO이다.",허난설헌,
꽁꽁,가사문학에 대한 문제이다 조선 성종 때 정극인이 쓴 우리나라 최초의 가사문학은 OOO이다,상춘곡,
꽁꽁,가상현실 게임 속 세계에서 살아남기 위해 싸우는 주인공을 다룬 일본 라이트노벨 원작 애니메이션은 무엇인가?,SAO,
꽁꽁,"가세표, 쉼표를 북한에서는 OOO라고한다.",황십자,
꽁꽁,가속도병 또는 동요병이라고도 한다 자동차의 진동에 의한 가속도 자극이 내이의 전정 반고리관에 작용하여 일어나는 병적 반응을 ○○라고 한다,멀미,
